team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Los Angeles Clippers,2018-19,2019,48,34,0.58536583,0.3754922464270513,5,extra_trees,37.0,48,34,over,+40000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,30.790364207018207,under,-6.209635792981793,48.0,17.209635792981793,11.0,loss,10.0,-10.0,0.0
Los Angeles Lakers,2018-19,2019,37,45,0.4512195,0.4934680092013672,5,extra_trees,48.5,37,45,under,+1800,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,40.46437675451211,under,-8.03562324548789,37.0,3.4643767545121094,11.5,win,10.0,9.090909090909092,19.090909090909093
Memphis Grizzlies,2018-19,2019,33,49,0.40243903,0.5901949391187112,5,extra_trees,34.5,33,49,under,+65000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,48.395985007734325,over,13.895985007734325,33.0,15.395985007734325,1.5,loss,10.0,-10.0,0.0
Miami Heat,2018-19,2019,39,43,0.47560975,0.5949105522326572,5,extra_trees,43.0,39,43,under,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,48.78266528307789,over,5.78266528307789,39.0,9.78266528307789,4.0,loss,10.0,-10.0,0.0
Milwaukee Bucks,2018-19,2019,60,22,0.73170733,0.6148131620092389,5,extra_trees,48.0,60,22,over,+10000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,50.41467928475759,over,2.4146792847575895,60.0,9.58532071524241,12.0,win,10.0,9.090909090909092,19.090909090909093
Minnesota Timberwolves,2018-19,2019,36,46,0.4390244,0.6100171422448973,5,extra_trees,41.5,36,46,under,+25000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,50.021405664081584,over,8.521405664081584,36.0,14.021405664081584,5.5,loss,10.0,-10.0,0.0
New Orleans Pelicans,2018-19,2019,33,49,0.40243903,0.5628966066469304,5,extra_trees,45.5,33,49,under,+10000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,46.15752174504829,over,0.6575217450482924,33.0,13.157521745048292,12.5,loss,10.0,-10.0,0.0
New York Knicks,2018-19,2019,17,65,0.20731707,0.37162965996493275,5,extra_trees,28.5,17,65,under,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,30.473632117124485,over,1.9736321171244846,17.0,13.473632117124485,11.5,loss,10.0,-10.0,0.0
Oklahoma City Thunder,2018-19,2019,49,33,0.597561,0.6214784238945251,5,extra_trees,48.5,49,33,over,+3800,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,50.96123075935106,over,2.4612307593510607,49.0,1.9612307593510607,0.5,win,10.0,9.090909090909092,19.090909090909093
Orlando Magic,2018-19,2019,42,40,0.5121951,0.5035614194017197,5,extra_trees,31.0,42,40,over,+75000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,41.292036390941014,over,10.292036390941014,42.0,0.7079636090589858,11.0,win,10.0,9.090909090909092,19.090909090909093
Philadelphia 76ers,2018-19,2019,51,31,0.6219512,0.5918982651325041,5,extra_trees,53.5,51,31,under,+2000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,48.53565774086534,under,-4.964342259134661,51.0,2.4643422591346607,2.5,win,10.0,9.090909090909092,19.090909090909093
Phoenix Suns,2018-19,2019,19,63,0.23170732,0.5009867166714538,5,extra_trees,29.0,19,63,under,+75000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,41.08091076705921,over,12.080910767059208,19.0,22.08091076705921,10.0,loss,10.0,-10.0,0.0
Portland Trail Blazers,2018-19,2019,53,29,0.64634144,0.5862093566231414,5,extra_trees,42.0,53,29,over,+30000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,48.069167243097596,over,6.069167243097596,53.0,4.930832756902404,11.0,win,10.0,9.090909090909092,19.090909090909093
Sacramento Kings,2018-19,2019,39,43,0.47560975,0.4678876031531263,5,extra_trees,26.0,39,43,over,+200000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,38.366783458556355,over,12.366783458556355,39.0,0.6332165414436446,13.0,win,10.0,9.090909090909092,19.090909090909093
San Antonio Spurs,2018-19,2019,48,34,0.58536583,0.557064744407514,5,extra_trees,43.5,48,34,over,+10000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,45.67930904141615,over,2.179309041416147,48.0,2.320690958583853,4.5,win,10.0,9.090909090909092,19.090909090909093
Toronto Raptors,2018-19,2019,58,24,0.70731705,0.601584332982057,5,extra_trees,55.5,58,24,over,+1850,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,49.329915304528676,under,-6.170084695471324,58.0,8.670084695471324,2.5,loss,10.0,-10.0,0.0
